time_h,S,DO2,O2,P,V,Wt,pH,T,Q,Viscosity,Culture_age,a0,a1,a3,a4,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,nm,phi0,CO2outgas,CO2_d,PAA,NH3,mu_P_calc,mu_X_calc,Fg,RPM,Fpaa,Fs,Fa,Fb,Fc,Foil,Fh,Fw,pressure,Fremoved
h,g/L,mg/L,O2  (%),g/L,L,Kg,pH,K,kJ,centPoise,h,g/L,g/L,g/L,g/L,-,-,-,-,-,-,-,-,-,-,-,-,%,(mg L^{-1}),PAA (g L^{-1}),NH3 (g L^{-1}),hr^{-1},hr^{-1},L/h,RPM,PAA flow (L/h),L/h,L/h,L/h,L/h,L/hr,L/h,L/h,bar,L/h
0.2,1.084138281,14.69259047,0.1869709779,0.001,57838.39049,61844.40359,6.554756341,297.7526406,148.4436481,4.083666135,0.1066058011,0.185496774,0.3543523612,8.242318213e-29,4.928896878e-33,1895613.547,41780.98905,612.5674681,6.729610322,0.05912568621,0.0004330084139,2.720895056e-06,1.498965997e-08,7.363210025e-11,3.266816909e-13,7.012312709e-14,1.550845207e-05,0.09039896228,0.2373088304,1360.894091,1679.773593,0.008292496451,0.07535233161,30,100,5,8,0,0,0.0001,22,161.0519075,0,0.6,-0
0.4,1.129452444,14.66985613,0.2014975519,0.0009995382006,57835.77555,61846.26704,6.532595089,297.9092165,190.1033693,4.168881156,0.2159985792,0.1957372389,0.3584738243,1.643013844e-25,1.9376083e-29,3735145.799,165231.5232,4855.207207,106.8386741,1.879551395,0.02755070753,0.0003462393714,3.809911078e-06,3.730551004e-08,3.287415281e-10,7.056079296e-11,3.055809011e-05,0.1026718227,0.2701217091,1369.41464,1683.738776,0.008274493387,0.07583029592,30,100,5,8,0,0,0.0001,22,49.47197242,0,0.6,-0
0.6,1.172742535,14.66218876,0.2049779493,0.000999072791,57833.14118,61848.10754,6.511426835,297.8923877,185.6259183,4.255616591,0.3283437263,0.2061318998,0.3632379493,1.406415824e-23,2.47975159e-27,5528836.399,367745.122,16236.02481,536.5745342,14.17301886,0.3118471574,0.005881147857,9.707470224e-05,1.425047657e-06,1.879849479e-08,4.034635107e-09,4.523268702e-05,0.1067734898,0.2813253465,1377.955127,1687.695245,0.008250465973,0.07590659692,30,100,5,8,0,0,0.0001,22,0.0001,0,0.6,-0
0.8,1.213951954,14.63402947,0.2056010447,0.000998602774,57830.47849,61849.9231,6.49107499,298.1105698,243.6733738,4.343847884,0.4438092905,0.2167451626,0.3686657166,3.302053252e-22,7.752442093e-26,7285983.749,646998.8727,38135.21241,1682.130921,59.28954136,1.74042171,0.04378034283,0.0009636514344,1.88585577e-05,3.312762985e-07,7.109578043e-08,5.960831516e-05,0.1092741604,0.2863713309,1386.471436,1691.64176,0.008225150394,0.07631509683,30,100,5,8,0,0,0.0001,22,65.71515864,0,0.6,-0
1,1.253098504,14.60377848,0.2055250395,0.0009981153334,57828.61499,61852.53296,6.47677673,298.0262241,221.2337003,4.43355328,0.5625638173,0.2275328622,0.3747230139,3.817032929e-21,1.119760793e-24,9014782.275,1000918.967,73811.00332,4073.189654,179.5860905,6.593339432,0.2074065824,0.005708051638,0.0001396448903,3.063839241e-06,6.574937919e-07,7.375201502e-05,0.1115314529,0.292867443,1394.946042,1695.555166,0.008266028996,0.07630052083,30,100,5,8,0,4.089019728,71.36368152,22,6.571515864,0,0.6,-0
1.2,1.2901726,14.59070449,0.205426854,0.000997596105,57828.73136,61857.11594,6.476307337,297.958175,203.1296387,4.52471055,0.6847687309,0.2385045558,0.3813968069,2.820196234e-20,9.930772881e-24,10722445.28,1427648.037,126407.2668,8376.917725,443.5095326,19.55156914,0.7384275952,0.0243975134,0.0007165013691,1.885648379e-05,4.046304229e-06,8.772280031e-05,0.1138245649,0.2994295486,1403.343567,1699.400345,0.008269617815,0.076269181,30,100,5,8,0,13.88010011,44.77441173,22,0.6571515864,0,0.6,-0
1.4,1.325342059,14.56109283,0.2051886544,0.0009970449401,57830.85305,61863.70925,6.487832895,297.9211666,193.2834125,4.617299909,0.8105850428,0.2496723669,0.3886808754,1.528973828e-19,6.284497744e-23,12415331.48,1925494.723,198952.7614,15391.1185,951.2892316,48.95512354,2.158278118,0.08323444518,0.002853041945,8.757534245e-05,1.879108007e-05,0.0001015726931,0.1162119676,0.3060140545,1411.665612,1703.175936,0.008279379805,0.07621176308,30,100,5,8,0,23.83295057,22.91347214,22,0.06571515864,0,0.6,-0
1.6,1.358260372,14.52720093,0.2048811322,0.0009964758739,57834.03449,61871.35772,6.506290264,298.0247875,220.8538918,4.711303193,0.9401725724,0.2610417992,0.396568336,6.598291069e-19,3.100272685e-22,14099323.04,2492882.692,294351.9125,26035.32452,1839.993879,108.2674396,5.457240343,0.240602471,0.009427590598,0.000330572455,7.092652064e-05,0.0001153498169,0.1187054276,0.3117567539,1419.922594,1706.909526,0.00831498693,0.07605947722,30,100,5,8,0,29.18048676,6.874041643,22,32.7704195,0,0.6,-0
1.8,1.388729744,14.48823209,0.2045202226,0.0009959145383,57836.80277,61878.58598,6.522582873,297.9850961,210.2924469,4.806707773,1.073702264,0.2726719746,0.4050928819,2.394834483e-18,1.26633568e-21,15780198.83,3128419.67,415413.7615,41348.76627,3289.024067,217.8208779,12.35676112,0.6131032242,0.02703377349,0.001066006901,0.0002287041567,0.0001291014498,0.1213117895,0.3188898077,1428.158385,1710.643177,0.008288137702,0.07614252984,30,100,5,8,0,27.16072291,39.94457881,22,3.27704195,0,0.6,-0
