time_h,S,DO2,O2,P,V,Wt,pH,T,Q,Viscosity,Culture_age,a0,a1,a3,a4,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,nm,phi0,CO2outgas,CO2_d,PAA,NH3,mu_P_calc,mu_X_calc,Fg,RPM,Fpaa,Fs,Fa,Fb,Fc,Foil,Fh,Fw,pressure,Fremoved
h,g/L,mg/L,O2  (%),g/L,L,Kg,pH,K,kJ,centPoise,h,g/L,g/L,g/L,g/L,-,-,-,-,-,-,-,-,-,-,-,-,%,(mg L^{-1}),PAA (g L^{-1}),NH3 (g L^{-1}),hr^{-1},hr^{-1},L/h,RPM,PAA flow (L/h),L/h,L/h,L/h,L/h,L/hr,L/h,L/h,bar,L/h
0.2,0.8614336865,14.73625842,0.2030145615,0.001,57754.54683,62199.26591,6.480697037,297.6503934,214.7005832,4.079779583,0.09260345845,0.1603280632,0.3079749724,9.193539437e-29,5.524411151e-33,2074856.678,45914.78621,674.5292599,7.419298242,0.06524066138,0.0004781506408,3.007184832e-06,1.658704775e-08,8.162434649e-11,3.6307462e-13,7.793495161e-14,1.69748815e-05,0.08308017821,0.218705927,1407.344747,1644.190191,0.009150023937,0.06761898569,30,100,5,8,0,3.386107887,0.0001,22,231.5500185,0,0.6,-0
0.4,0.9183075349,14.71867705,0.2059788873,0.0009994968671,57754.18079,62203.39327,6.481427035,297.8689338,272.7600333,4.16086663,0.1873529432,0.1681321472,0.3111450838,1.813558709e-25,2.139895316e-29,4041759.679,180174.8124,5314.887125,117.2288567,2.065595806,0.0303122412,0.0003812756287,4.198378013e-06,4.11338602e-08,3.62674765e-10,7.784418783e-11,3.306656905e-05,0.09333639057,0.2458136782,1416.152386,1648.133825,0.00914703298,0.06748275864,30,100,5,8,0,11.10729312,0.0001,22,69.92141148,0,0.6,-0
0.6,0.9743400667,14.71594196,0.2066804632,0.0009989641163,57755.37756,62209.09547,6.493320504,297.8395216,264.9459674,4.243238423,0.2843537682,0.1760711849,0.3147416677,1.548769319e-23,2.732069896e-27,5917364.742,398017.8542,17672.24284,586.0456699,15.51550636,0.3419535242,0.006457032169,0.0001066854119,1.567382239e-06,2.068981039e-08,4.440559053e-09,4.841132709e-05,0.09664595918,0.2549719947,1424.814527,1652.025568,0.009160724574,0.06772729499,30,100,5,8,0,19.05408484,0.0001,22,0.0001,0,0.6,-0
0.8,1.029010885,14.70087486,0.2067481337,0.0009984174553,57757.16541,62215.38297,6.507698816,298.1498317,347.3902546,4.326877029,0.3837170794,0.1841344995,0.3187623002,3.628948544e-22,8.525007972e-26,7715772.862,695199.1114,41279.1506,1828.971914,64.65976529,1.902190402,0.04792830642,0.001056311715,2.069338209e-05,3.638183245e-07,7.807966657e-08,6.312451911e-05,0.09858089823,0.2580853473,1433.454723,1655.893299,0.009186314571,0.06778624765,30,100,5,8,0,22.20920849,0.0001,22,95.55456157,0,0.6,-0
1,1.082263065,14.67753069,0.2065995274,0.0009978778961,57758.41109,62221.12237,6.518622837,298.0411412,318.5119027,4.411763346,0.4855498805,0.1923081482,0.3231992202,4.186359386e-21,1.228984157e-24,9449145.176,1067913.984,79464.31595,4409.258292,195.1225806,7.182837537,0.2264050411,0.006240712628,0.0001528691622,3.357451983e-06,7.205023007e-07,7.73056382e-05,0.1002878815,0.2632130402,1442.102886,1659.769948,0.009192729951,0.06763090089,30,100,5,8,0,19.64058013,101.259734,22,9.555456157,0,0.6,-0
1.2,1.134346203,14.65789343,0.2064343785,0.0009973662027,57758.3021,62225.51881,6.519299462,297.9436606,292.6113888,4.497883157,0.5899667484,0.2006507638,0.3280816171,3.087304727e-20,1.088085223e-23,11127628.15,1512731.571,135369.2149,9028.994169,480.123624,21.23241123,0.8038225558,0.02660776529,0.0007825865621,2.062106446e-05,4.424953664e-06,9.103769494e-05,0.1020080345,0.2684215709,1450.799502,1663.677664,0.009183299168,0.06785290691,30,100,5,8,0,12.72162525,67.05287498,22,0.9555456157,0,0.6,-0
1.4,1.185100977,14.64466495,0.2063202729,0.0009968768705,57756.73941,62228.46257,6.50886298,298.1834675,356.327759,4.585226285,0.697088977,0.2091518537,0.333400646,1.670431366e-19,6.872736165e-23,12759867.32,2026497.605,211950.7294,16518.75221,1026.113619,52.99690278,2.342854018,0.09054554176,0.003108954467,9.556356559e-05,2.050510596e-05,0.0001043914204,0.1037930386,0.2714720092,1459.499678,1667.619903,0.009160484709,0.06790047768,30,100,5,8,0,5.554577953,20.1158625,22,80.39231148,0,0.6,-0
1.6,1.234333088,14.63109308,0.2062167479,0.0009963950288,57754.56068,62230.78054,6.494335823,298.0757505,327.7080747,4.673778699,0.8070267323,0.217767794,0.3391191961,7.200988627e-19,3.388137162e-22,14353425.45,2606280.883,311983.2649,27826.99085,1977.827277,116.8595465,5.908958568,0.2611731089,0.01025474683,0.0003602008328,7.728342624e-05,0.0001174286874,0.1056476554,0.2770112708,1468.194657,1671.573867,0.009199913778,0.06755530621,30,100,5,8,0,2.565782694,101.4676197,22,8.039231148,0,0.6,-0
1.8,1.281936892,14.62107015,0.2061505474,0.0009959058892,57752.97055,62233.69031,6.484677835,297.9825984,302.9586416,4.763531947,0.9199001251,0.226603163,0.3452952682,2.609940887e-18,1.382372153e-21,15915089.61,3249386.636,438080.809,44013.10654,3523.207989,234.4110082,13.34521472,0.6640335844,0.02934865868,0.001159617925,0.0002487874762,0.0001302050224,0.1075816756,0.2827774071,1476.880945,1675.5019,0.009177494836,0.06797525256,30,100,5,8,0,5.365705821,69.38675146,22,0.8039231148,0,0.6,-0
