time_h,S,DO2,O2,P,V,Wt,pH,T,Q,Viscosity,Culture_age,a0,a1,a3,a4,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,nm,phi0,CO2outgas,CO2_d,PAA,NH3,mu_P_calc,mu_X_calc,Fg,RPM,Fpaa,Fs,Fa,Fb,Fc,Foil,Fh,Fw,pressure,Fremoved
h,g/L,mg/L,O2  (%),g/L,L,Kg,pH,K,kJ,centPoise,h,g/L,g/L,g/L,g/L,-,-,-,-,-,-,-,-,-,-,-,-,%,(mg L^{-1}),PAA (g L^{-1}),NH3 (g L^{-1}),hr^{-1},hr^{-1},L/h,RPM,PAA flow (L/h),L/h,L/h,L/h,L/h,L/hr,L/h,L/h,bar,L/h
0.2,0.9456517255,14.73899008,0.2203903763,0.001,58242.44016,61681.77575,6.532195645,297.8743056,49.59159825,4.076648394,0.08204200642,0.1424160958,0.2727829734,7.354734922e-29,4.399005903e-33,1677838.29,37096.18737,544.7325556,5.990021031,0.05266093518,0.0003858404446,2.4253775e-06,1.336566873e-08,6.56723367e-11,2.914377633e-13,6.255791979e-14,1.372678241e-05,0.0774137106,0.2025156812,1471.720002,1678.214862,0.007100715068,0.071821856,30,100,5,8,0,0,0.0001,22,62.16070141,0,0.6,-0
0.4,1.00340688,14.73140498,0.2102751384,0.0009995347643,58239.76864,61683.59288,6.514621076,297.9294506,64.36468647,4.154637952,0.166114939,0.1498290613,0.2757914114,1.463380912e-25,1.726197687e-29,3276527.306,145817.7389,4297.751126,94.7452324,1.668846946,0.0244837513,0.0003079002958,3.389798725e-06,3.32057634e-08,2.927146856e-10,6.282802078e-11,2.680602634e-05,0.08688172215,0.2285635403,1480.948091,1682.243815,0.007084457499,0.07184889619,30,100,5,8,0,0,0.0001,22,25.13898035,0,0.6,-0
0.6,1.059683193,14.72438955,0.2078699852,0.0009990679967,58237.09405,61685.40512,6.497726238,297.8977926,55.88396045,4.233941705,0.2523241108,0.1573352078,0.2792234967,1.250689286e-23,2.205974041e-27,4808619.446,322645.2218,14307.96854,474.1247754,12.5460745,0.276407886,0.005217897994,8.619294057e-05,1.266082497e-06,1.670993482e-08,3.586376725e-09,3.934042585e-05,0.0899963467,0.2372420869,1490.155682,1686.267048,0.007079090021,0.07171549198,30,100,5,8,0,0,0.0001,22,0.0001,0,0.6,-0
0.8,1.11459932,14.71234489,0.2072374754,0.0009985938143,58234.69223,61687.48989,6.483480463,298.0217801,89.09729837,4.314538525,0.3407803789,0.1649902838,0.2830979196,2.931929397e-22,6.886742208e-26,6284908.952,564449.88,33461.33867,1481.134404,52.32818155,1.538683538,0.03875530471,0.0008539023939,1.672429673e-05,2.93980151e-07,6.309158057e-08,5.141829112e-05,0.09184177173,0.2414078623,1499.32335,1690.275219,0.007091987003,0.07202066754,30,100,5,8,0,1.42868114,0.0001,22,43.72524315,0,0.6,-0
1,1.168134882,14.68903687,0.2069328778,0.0009980937303,58233.70602,61690.98903,6.47942529,297.9590115,72.28338069,4.396411448,0.4315982755,0.1727729568,0.2873965757,3.385331029e-21,9.937830874e-25,7714416.849,868427.7743,64492.64328,3574.288031,158.0494475,5.814943181,0.1832169247,0.005048816678,0.0001236473882,2.715255248e-06,5.82688219e-07,6.311342526e-05,0.09348220372,0.2460872217,1508.449391,1694.235499,0.007102951677,0.07205795978,30,100,5,8,0,8.549158751,39.18043858,22,4.372524315,0,0.6,-0
1.2,1.220163963,14.66820643,0.2067270005,0.0009975659035,58234.47906,61696.2451,6.487006937,297.9112613,59.4923362,4.479543488,0.5248890334,0.1806922261,0.2921170364,2.497181604e-20,8.799941629e-24,9104865.959,1232030.222,109992.4989,7326.050713,389.2028735,17.20021613,0.6508523236,0.02153626361,0.0006332447059,1.668230646e-05,3.579758843e-06,7.448901044e-05,0.095139876,0.2507697672,1517.487913,1698.137362,0.007088929768,0.07209519092,30,100,5,8,0,17.26675717,17.41213039,22,0.4372524315,0,0.6,-0
1.4,1.271412438,14.65336843,0.206594162,0.0009970191843,58236.38207,61702.64283,6.500926738,297.9992277,83.05708786,4.563917443,0.6207600992,0.1887221798,0.2972377037,1.352106879e-19,5.56266961e-23,10462532.39,1652925.088,172416.1034,13415.83436,832.4738864,42.96357731,1.898284868,0.0733354596,0.002517333703,7.7363715e-05,1.659995883e-05,8.559639291e-05,0.09685826122,0.254736489,1526.47205,1701.999633,0.007069307644,0.07179774571,30,100,5,8,0,22.94613789,5.223639117,22,33.79278734,0,0.6,-0
1.6,1.321067925,14.63494355,0.2064536462,0.0009964729376,58238.30539,61709.05295,6.515148719,297.9475754,69.21966122,4.649515858,0.7193148998,0.1968816138,0.3027630331,5.829956317e-19,2.742604055e-22,11792886.72,2128909.476,254074.8358,22620.50437,1605.807773,94.79675004,4.790317428,0.21162909,0.008306471551,0.0002916897484,6.258393468e-05,9.648032889e-05,0.09864519859,0.2597483596,1535.450782,1705.854286,0.007112697423,0.07155699484,30,100,5,8,0,23.07404699,32.60248203,22,3.379278734,0,0.6,-0
1.8,1.369044581,14.62235443,0.2063629049,0.000995943645,58239.0918,61714.322,6.520665882,298.1971017,136.0690332,4.736326034,0.8206642066,0.205192965,0.3087022228,2.11365109e-18,1.119255291e-21,13101181.95,2657959.643,357159.8639,35810.3715,2862.674386,190.2778184,10.8248347,0.5383272402,0.02378262271,0.0009393852736,0.0002015382142,0.0001071837942,0.1005045231,0.2629809417,1544.421615,1709.734886,0.007072265769,0.07139363677,30,100,5,8,0,17.53245483,9.780744609,22,80.57470804,0,0.6,-0
2,1.415663307,14.6051896,0.2062539934,0.0009954389373,58238.31559,61718.02625,6.514463521,298.0816062,105.1268007,4.824338469,0.9249238497,0.213683009,0.3150674617,6.681983047e-18,3.933678986e-21,14391998.01,3238156.727,483723.1522,53937.99256,4795.147484,354.4192198,22.41815031,1.239446227,0.06086993292,0.002670964294,0.0005729987392,0.0001177442584,0.1024398012,0.2687522035,1553.424674,1713.653591,0.00708156009,0.07135424667,30,100,5,8,0,9.813515896,94.28877086,22,8.057470804,0,0.6,-0
2.2,1.460731849,14.57548526,0.2060405973,0.0009949547469,58236.52338,61720.72238,6.501117975,297.9913852,80.95599527,4.913550304,1.03222426,0.2224054988,0.3218920964,1.891138212e-17,1.225367259e-20,15669472.77,3867709.36,635698.0132,78034.22552,7637.451586,621.4229322,43.26632029,2.632784178,0.1422949908,0.006867329718,0.001473144538,0.0001281955743,0.1044596664,0.2747083767,1562.400696,1717.593127,0.007093583672,0.07167202669,30,100,5,8,0,4.586106242,59.9627081,22,0.8057470804,0,0.6,-0
2.4,1.503981523,14.54673494,0.2058081839,0.0009944715844,58234.77102,61723.45653,6.488051063,297.9387166,66.84597997,5.003961086,1.142701424,0.2313462981,0.3291594551,4.885328111e-17,3.455451278e-20,16937558.6,4544927.656,814893.4509,109199.6255,11668.58069,1036.503001,78.77902306,5.232568025,0.3086694623,0.01624968977,0.003485574362,0.0001385700773,0.106568048,0.2806497667,1571.361509,1721.522806,0.007122179474,0.07179924186,30,100,5,8,0,4.682841989,32.76289346,22,0.08057470804,0,0.6,-0
2.6,1.545453937,14.51554522,0.2055524556,0.0009939688566,58234.07026,61727.2457,6.482343767,298.0496201,96.55709337,5.095569784,1.256489495,0.2405174768,0.3368724712,1.16884936e-16,8.962501731e-20,18199911.55,5268214.247,1022993.338,148596.1966,17214.47357,1657.784227,136.5903217,9.834263249,0.6287918204,0.03585978893,0.007691459607,0.0001488976782,0.1087665476,0.2856430718,1580.286276,1725.412223,0.007179597652,0.0719547354,30,100,5,8,0,9.982570426,9.828868038,22,38.26486314,0,0.6,-0
2.8,1.585732842,14.49393343,0.2053683525,0.0009934397059,58234.87387,61732.55017,6.486369208,297.9926449,81.29314476,5.188372964,1.373715148,0.2498755458,0.3449882916,2.619683541e-16,2.164796358e-19,19459556.79,6036054.944,1261560.354,197440.3655,24649.96417,2558.287845,227.1520005,17.62313321,1.214127709,0.07456906021,0.01599305373,0.0001592031267,0.1110509606,0.2920226089,1589.124296,1729.248934,0.007115530958,0.07170434883,30,100,5,8,0,17.5419693,46.18746163,22,3.826486314,0,0.6,-0
3,1.624257759,14.48069159,0.2052766769,0.0009928926905,58236.87955,61739.04987,6.496056409,297.9510103,70.13857836,5.28236576,1.494499752,0.2594499033,0.3535250559,5.548628536e-16,4.916156592e-19,20719235.89,6846979.453,1532022.804,256990.3026,34399.04477,3827.747904,364.3802857,30.30657926,2.238236762,0.1472914637,0.03158798665,0.0001695088522,0.1134202715,0.2985834765,1597.892448,1733.040889,0.007124838823,0.07159577395,30,100,5,8,0,23.48281928,27.55998564,22,0.3826486314,0,0.6,-0
3.2,1.675826451,14.45328422,0.2050986508,0.0009923168886,58240.70968,61747.84632,6.507282928,297.9292571,64.3101746,5.377548926,1.618980612,0.2692991168,0.362525249,1.118766022e-15,1.058073357e-18,21976302.88,7699521.554,1835700.171,328546.3806,46937.46946,5574.868167,566.4336753,50.2813591,3.963012052,0.2781940989,0.05965733769,0.0001797932075,0.1158831703,0.3052455231,1606.58912,1736.767588,0.007128434866,0.07183968824,30,100,5,15,0,25.56136289,13.34754559,22,0.03826486314,0,0.6,-0
3.4,1.725789663,14.43449494,0.2049742184,0.0009917495332,58244.05187,61756.16577,6.51524534,298.0051717,84.65185659,5.47392704,1.747307451,0.279434771,0.3719986986,2.160335129e-15,2.172400884e-18,23228397.81,8591976.91,2173785.353,413440.8047,62792.88539,7929.288622,856.5387685,80.83107207,6.772432386,0.5051603909,0.108322026,0.0001900368852,0.1184457201,0.3113976781,1615.268533,1740.497802,0.00716589869,0.07198060971,30,100,5,15,0,23.16236787,4.004263678,22,23.61341993,0,0.6,-0
3.6,1.774657916,14.40724061,0.2047929625,0.000991201101,58246.27344,61763.38177,6.516392978,297.977093,77.12755108,5.571502552,1.879624765,0.2898211289,0.3819094179,4.015033082e-15,4.278187173e-18,24478243.49,9522648.063,2547337.014,513029.4519,82545.04872,11043.61036,1263.905245,126.3612981,11.21566521,0.8858934699,0.1899505028,0.0002002621612,0.1211037905,0.3185805623,1623.893954,1744.251747,0.007185429463,0.07176402005,30,100,5,15,0,17.59403985,27.70507129,22,2.361341993,0,0.6,-0
3.8,1.82214409,14.39739332,0.2047434908,0.0009906739466,58247.29869,61769.40862,6.509364666,297.9564955,71.60773946,5.67027386,2.016063777,0.300449494,0.3922427296,7.209738621e-15,8.115069853e-18,25728185.54,10489873.86,2957245.633,628666.7897,106820.4834,15094.24571,1824.519907,192.6459768,18.05754744,1.505710649,0.3228285155,0.0002104882257,0.1238518141,0.3259869655,1632.507949,1748.032254,0.007142859561,0.07142023225,30,100,5,15,0,11.5785643,17.64251523,22,0.2361341993,0,0.6,-0
